ViT,366.9849729537964,35.789835929870605,10.0
Performer-ReLU,255.79416799545288,35.38337588310242,26.42
Performer-exp,50243.30406308174,125.85767602920532,10.66
Performer-Learnable,680.7549350261688,71.38706302642822,10.38
ViT,128.31340527534485,72.83571910858154,10.0
Performer-ReLU,115.17175507545471,73.73115611076355,27.71
Performer-exp,313.1325960159302,78.91923689842224,27.2
Performer-Learnable,781.9776928424835,75.21105313301086,28.45
ViT,631.8116207122803,372.34709548950195,10.0
Performer-ReLU,563.9357028007507,373.39044094085693,39.49
Performer-exp,1606.3033480644226,414.8144099712372,40.69
Performer-Learnable,671.402293920517,377.33710956573486,38.78
ViT,576.8962450027466,370.71318197250366,50.82
ViT,571.1414754390717,368.226943731308,53.09
Performer-ReLU,567.7917642593384,370.8434419631958,43.01
Performer-exp,1584.8973162174225,413.64359879493713,47.37
Performer-Learnable,668.068158864975,375.77037596702576,43.72
ViT,0,0,53.09
Performer-ReLU,0,0,43.01
Performer-exp,0,0,47.37
Performer-Learnable,130.47950315475464,74.99346899986267,44.24
ViT,1004.6421794891357,687.7977817058563,55.68
Performer-ReLU,1013.9163670539856,689.737687587738,44.07
Performer-exp,1304.7672469615936,375.69065403938293,51.33
Performer-Learnable,1348.9278185367584,4109.152061223984,47.46
